Sample	EMT_KS_Score
ES_5001.capt.SI_5013.C0LAMACXX	-0.478253358096143
MO_1032.capt.SI_4934.C0KFGACXX	-0.448667559279575
MO_1032.poly.SI_4925.C0KFGACXX	-0.423616809916641
MO_1051.poly.SI_5091.D0VCEACXX	-0.542175959918801
MO_1107.capt.SI_5841.C19M0ACXX	-0.462272707640479
MO_1107.poly.SI_5773.C19M0ACXX	-0.446292057184814
MO_1167.capt.SI_6652.H0V81ADXX	-0.264630933356369
MO_1185.capt.SI_6794.H77P5ADXX	-0.708245151816179
MO_1185.poly.SI_6764.H77P6ADXX	-0.682805683928648
MO_1190.capt.SI_6799.C2560ACXX	-0.546106336111951
MO_1190.poly.SI_6769.H77PEADXX	-0.580831857642638
MO_1195.capt.SI_6863.H77PRADXX	-0.474495745691703
MO_1195.poly.SI_6854.H77PRADXX	-0.480024186930419
MO_1227.capt.SI_7130.C25YLACXX	-0.441368289206582
MO_1227.poly.SI_7115.C25YLACXX	-0.426381030536
MO_1247.capt.SI_7265.C25YAACXX	-0.453591327257807
MO_1247.poly.SI_7235.C25YAACXX	-0.455966829352568
MO_1266.capt.SI_7570.C2G8GACXX	-0.331879238111692
MO_1266.poly.SI_7558.C2G8GACXX	-0.285146633265668
MO_1267.capt.SI_7571.C2GBYACXX	-0.224592925322852
MO_1267.poly.SI_7559.C2GBYACXX	-0.233663024230121
MO_1269.capt.SI_7573.C2GBYACXX	-0.379432470954088
MO_1269.poly.SI_7561.C2GBYACXX	-0.376279531810133
MO_1271.capt.SI_7597.D2GFBACXX	-0.285535351790265
MO_1271.poly.SI_7586.D2GFBACXX	-0.292834621863257
MO_1276.capt.SI_7601.C2G5LACXX	-0.147453893663888
MO_1276.poly.SI_7589.C2G5LACXX	-0.204465943938151
MO_1386.capt.SI_8763.C4018ANXX	0.14758346650542
MO_1386.poly.SI_8760.C4733ANXX	0.0970932492549562
MO_1387.capt.SI_8841.C4730ANXX	-0.354381721591154
MO_1424.poly.SI_9376.C5N1GANXX	-0.591068112123699
MO_1435.capt.SI_9690.C5N0MANXX	-0.479246749881225
MO_1435.poly.SI_9665.C5N0MANXX	-0.488921522048979
MO_1454.capt.SI_9940.C6EJUANXX	-0.529348248607092
MO_1454.poly.SI_9919.C6EJUANXX	-0.570768366950287
MO_1516.capt.SI_11439.HV7JNADXX	-0.425776357275515
MO_1516.poly.SI_11432.HVGHMADXX	-0.45557811082797
MO_1534.capt.SI_11904.C7F4VANXX	-0.553405606184944
MO_1540.capt.SI_12051.H53C5ADXX	-0.286528743575347
TP_2025.poly.SI_6011.D1EBEACXX	-0.39562907614564
